"S.
No.","Tender/Proposal ID,
Reference No,
33,"993950,
egp/khul1/H.S/civil/tower.block/abunaser//23-24,
Live","Works,
Remodeling of toilets of Â towerÂ block along with Renovation of sewage lines (North-East side) of 250 bed Shaheed Sheikh Abu Naser Specialized Hospital, Khulna.","Ministry of Housing and Public Works,
Public Works Department (PWD),
Khulna PWD Division-1","NCT,
OTM","30-May-2024 17:32,
10-Jun-2024 12:00"
34,"993093,
PWD/Rngpr/MoPA/14.012.23-159/03,
Live","Works,
Construction of boundary wall and gate of Treasury building at the office premises of the Deputy Commissioner, Rangpur.","Ministry of Housing and Public Works,
Public Works Department (PWD),
Rangpur PWD Division","NCT,
OTM","30-May-2024 17:30,
10-Jun-2024 12:30"
35,"994154,
THOK/DHK-1/2023-2024/RJS-1/007/245,
Live","Works,
Providing pavement tiles on driveway and walkway, providing floor and wall tiles, grills and aluminum on windows, construction of kitchen on two floors, interior and exterior painting including civil sanitary repair and renovation work of ...","Ministry of Housing and Public Works,
Public Works Department (PWD),
Dhaka PWD Division-1, Dhaka","NCT,
OTM","30-May-2024 17:30,
10-Jun-2024 14:00"
36,"993734,
155(13)/2023-24 E/M 7-126/3351,Date: 30-05-2024,
Live","Works,
Replacement of old/damaged/unserviceable AC Machine by new supply AC Machine including related works of Vascular Operation Theatre at National Institute of Cardiovascular Diseases & Hospital, Sher e Bangla Nagar, Dhaka.","Ministry of Housing and Public Works,
Public Works Department (PWD),
PWD EM Division-7, Dhaka","NCT,
OTM","30-May-2024 17:28,
10-Jun-2024 15:00"
37,"994051,
EMDK-4/ 23-24/HES/DMCH 2/Sl no 2/Hamatology/AC,
Live","Works,
Master servicing work including gas refilling, replacement of air filter and unrepairable chiller of two central air cooler with a capacity of 15 tons on the roof of the 10th floor of Hematology department in Dhaka Medical College Hospital 2.","Ministry of Housing and Public Works,
Public Works Department (PWD),
PWD EM Division-4, Dhaka","NCT,
OTM","30-May-2024 17:25,
10-Jun-2024 12:00"
38,"993881,
e-GP/64/EE/DRD/2023-2024,
Live","Works,
Repairing & Renewing the Occupied by (1) Md. Faruk Mia, Security Guard, Shed No-D-1/3, Kallyanpur Security Barrack Staff Quarter (2) Md. Ratan Mridha, Security Guard, Shed No-B/2 at Kallyanpur Shahid Minar Road Staff Quarter under Dhaka Road Division during the year 2023-2024.","Ministry of Road Transport and Bridges,
Road Transport and Highways Division,
Roads & Highways Department (RHD),
Dhaka Road Division","NCT,
OTM","30-May-2024 17:25,
10-Jun-2024 13:00"
39,"994067,
egp/khul1/em/sp/23-24,
Live","Works,
Emergency electrical repair works at Khulna Police Super Office, Khulna.","Ministry of Housing and Public Works,
Public Works Department (PWD),
Khulna PWD Division-1","NCT,
OTM","30-May-2024 17:24,
11-Jun-2024 12:00"
40,"993996,
egp/khul1/H.S/civil/Chest.hospital/roof/23-24,
Live","Works,
Repairing of roof, re-installation of door-windows, re-arrange of bathroom along with other civil & sanitary repair works at Chest Diseases Hospital, Khulna.","Ministry of Housing and Public Works,
Public Works Department (PWD),
Khulna PWD Division-1","NCT,
OTM","30-May-2024 17:23,
10-Jun-2024 12:00"
41,"994170,
egp/khul1/em/rapp.re39/23-24,
Live","Works,
Special repair works of CC camera, intercom system and networking system at PWD-1 division office, khulna.","Ministry of Housing and Public Works,
Public Works Department (PWD),
Khulna PWD Division-1","NCT,
OTM","30-May-2024 17:22,
11-Jun-2024 12:00"
42,"993883,
egp/khul1/civil/rapp/div.com.road/23-24,
Live","Works,
Repair works along with providing new sealcoat on old bituminous road in front of Khulna Divisional Commissioner's residence.","Ministry of Housing and Public Works,
Public Works Department (PWD),
Khulna PWD Division-1","NCT,
OTM","30-May-2024 17:18,
10-Jun-2024 12:00"
43,"994122,
25.36.2600.230.00/3481/date:29.5.24,
Live","Works,
Sewerage line placement and drain construction around Hisab Bhaban at Segunbagicha in Dhaka","Ministry of Housing and Public Works,
Public Works Department (PWD),
Dhaka PWD Division-3, Dhaka","NCT,
OTM","30-May-2024 17:15,
10-Jun-2024 15:30"
44,"993933,
25.36.2600.612.07.713.24.96.Lift,
Live","Works,
Replacement and Maintenance of Spare Parts of Lift at prime Minister office at Dhaka
 ","Ministry of Housing and Public Works,
Public Works Department (PWD),
PWD EM Division-1, Dhaka","NCT,
OTM","30-May-2024 17:15,
10-Jun-2024 14:00"
45,"993995,
egp/khul1/H.S/civil/infectious.hos/roof/23-24,
Live","Works,
Repairing of roof, re-installation of door-windows, re-arrange of bathroom along with other civil & sanitary repair works at Infectious Diseases Hospital, Khulna.","Ministry of Housing and Public Works,
Public Works Department (PWD),
Khulna PWD Division-1","NCT,
OTM","30-May-2024 17:11,
10-Jun-2024 12:00"
